Time,Sensor,x,y,z
5.622,RHip,0.932558946,25.82868526,0.159533074
5.622,RKne,2.283236994,14.76023891,0.090551181
5.622,RAnk,0.337918386,2.1,0.196945338
5.622,LHip,1.63426528,24.40645161,0.183194154
5.622,LKne,1.263812155,14.8481203,0.162474849
5.622,LAnk,0.095636581,2.020835127,0.159779614
5.63,RHip,0.932558946,25.82868526,0.159533074
5.63,RKne,2.333815029,14.76279863,0.092519685
5.63,RAnk,0.337459881,2.1,0.142282958
5.63,LHip,1.63426528,24.40645161,0.183194154
5.63,LKne,1.263812155,14.8481203,0.162474849
5.63,LAnk,0.095636581,2.020835127,0.159779614
5.64,RHip,0.856276006,26.32270916,0.175745785
5.64,RKne,2.333815029,14.76279863,0.092519685
5.64,RAnk,0.337459881,2.1,0.142282958
5.64,LHip,1.689694408,24.5716129,0.198329854
5.64,LKne,1.263812155,14.8481203,0.162474849
5.64,LAnk,0.095636581,2.020835127,0.159779614
5.649,RHip,0.856276006,26.32270916,0.175745785
5.649,RKne,2.333815029,14.76279863,0.092519685
5.649,RAnk,0.337459881,2.1,0.142282958
5.649,LHip,1.689694408,24.5716129,0.198329854
5.649,LKne,1.364443567,14.83383459,0.192655936
5.649,LAnk,0.092050209,2.021093414,0.163911846
5.657,RHip,0.856276006,26.32270916,0.175745785
5.657,RKne,2.420520231,14.73762799,0.164041995
5.657,RAnk,0.337918386,2.1,0.190514469
5.657,LHip,1.689694408,24.5716129,0.198329854
5.657,LKne,1.364443567,14.83383459,0.192655936
5.657,LAnk,0.092050209,2.021093414,0.163911846
5.666,RHip,1.014563107,23.85258964,0.224383917
5.666,RKne,2.420520231,14.73762799,0.164041995
5.666,RAnk,0.337918386,2.1,0.190514469
5.666,LHip,1.534135241,23.80774194,0.216597077
5.666,LKne,1.364443567,14.83383459,0.192655936
5.666,LAnk,0.092050209,2.021093414,0.163911846
5.676,RHip,1.014563107,23.85258964,0.224383917
5.676,RKne,2.420520231,14.73762799,0.164041995
5.676,RAnk,0.337918386,2.1,0.190514469
5.676,LHip,1.534135241,23.80774194,0.216597077
5.676,LKne,1.24605367,14.80827068,0.199195171
5.676,LAnk,0.093843395,2.020835127,0.162534435
5.684,RHip,1.014563107,23.85258964,0.224383917
5.684,RKne,2.210982659,14.74146758,0.192913386
5.684,RAnk,0.337001376,2.1,0.193729904
5.684,LHip,1.534135241,23.80774194,0.216597077
5.684,LKne,1.24605367,14.80827068,0.199195171
5.684,LAnk,0.093843395,2.020835127,0.162534435
5.693,RHip,1.035540915,23.26294821,0.202983139
5.693,RKne,2.210982659,14.74146758,0.192913386
5.693,RAnk,0.337001376,2.1,0.193729904
5.693,LHip,1.711150845,24.1483871,0.233820459
5.693,LKne,1.24605367,14.80827068,0.199195171
